securityQuestionId,securityQuestionName,securityQuestionCode,securityQuestionDesc
1,What is the name of your favorite childhood friend?,,
2,What is your favorite movie?,,
3,What is the name of your first grade teacher?,,
4,What was your favorite sport in high school?,,
5,What is the name of your favorite pet?,,
6,In which city were you born?,,
7,What is your favorite color?,,
8,what is your favorite social media website?,,
9,What is the name of your first school?,,
10,Who is your favorite author?,,
