requestMap,module_id,group,type,panel
acceptCustomer,1,Accept/Reject Customer,view,Admin
acceptRequestedCustomer,1,Accept/Reject Customer,update,Admin
rejectRequestedCustomer,1,Accept/Reject Customer,delete,Admin
acceptSupplier,1,Accept/Reject Supplier,view,Admin
acceptRequestedSupplier,1,Accept/Reject Supplier,update,Admin
rejectRequestedSupplier,1,Accept/Reject Supplier,delete,Admin
administrationpanel,1,Administration Panel,view,Admin
viewArea,1,Area Access,view,Admin
updateAreaDetails,1,Area Access,update,Admin
removeAreaDataViaId,1,Area Access,delete,Admin
createAreaDetails,1,Area Access,create,Admin
fetchAllCustomerForSlaAssign,1,SLA to Customer,view,Admin
updateSlaForCustomer,1,SLA to Customer,update,Admin
saveSlaForCustomerFromSup,1,SLA to Customer,create,Admin
fetchAllSupplierForSlaAssign,1,SLA to Supplier,view,Admin
saveSlaForSupplierFromCus,1,SLA to Supplier,create,Admin
createSitesForCustomer,1,Sites to Customer,create,Admin
viewSupplierSLA,1,SLA from Supplier,view,Admin
acceptSlaFromSupplier,1,SLA from Supplier,update,Admin
rejectSlaFromSupplier,1,SLA from Supplier,delete,Admin
updateCustomer,1,Customer Access,update,Admin
removeCustomer,1,Customer Access,delete,Admin
customerSave,1,Customer Access,create,Admin
customerProductPanel,1,Customer Catalog,view,Operational
assignProductForCustomer,1,Customer Catalog,create,Operational
itemRemoveForCustomer,1,Customer Catalog,delete,Operational
updateProductAssigntoCustomer,1,Customer Catalog,update,Operational
dashboard,1,Admin Panel Dashboard,view,Admin
operationalpanel,1,Operational Panel Dashboard,view,Operational
placeOrder,1,Order Management,view,Operational
orderPlacement,1,Order Management,create,Operational
cancelOrDeletePlacedOrder,1,Order Management,delete,Operational
removeProduct,1,Product Access,delete,Admin
saveMasterProduct,1,Product Access,create,Admin
updateMasterProduct,1,Product Access,update,Admin
productpurchasecatalog,1,Purchase Catalog,view,Admin
saveProductCatalogPurchase,1,Purchase Catalog,create,Admin
delProductFromCatalogPurchase,1,Purchase Catalog,delete,Admin
addNewProductCatalogPurchase,1,Purchase Catalog,update,Admin
productsalescatalog,1,Sales Catalog,view,Admin
saveProductCatalogSales,1,Sales Catalog,create,Admin
editProductFromCatalogSale,1,Sales Catalog,update,Admin
delProductFromCatalogSale,1,Sales Catalog,delete,Admin
saveTradersById,1,Customer/Supplier By ID,view,Admin
addExistingCustomerOrSupplier,1,Customer/Supplier By ID,create,Admin
createOrViewSLA,1,Service Level Agreement Access,view,Admin
updateSlaForCustomer,1,Service Level Agreement Access,update,Admin
deleteSla,1,Service Level Agreement Access,delete,Admin
createSla,1,Service Level Agreement Access,create,Admin
viewSite,1,Site Access,view,Admin
updateSite,1,Site Access,update,Admin
deleteSite,1,Site Access,delete,Admin
createSite,1,Site Access,create,Admin
viewUser,1,Sub User Access,view,Admin
updateSubUser,1,Sub User Access,update,Admin
deleteSubUserData,1,Sub User Access,delete,Admin
createSubUser,1,Sub User Access,create,Admin
updateSupplier,1,Supplier Access,update,Admin
removeSupplier,1,Supplier Access,delete,Admin
supplierSave,1,Supplier Access,create,Admin
supplierProductPanel,1,Supplier Catalog,view,Operational
assignProductToSupplier,1,Supplier Catalog,create,Operational
fetchSupplierProductMerging,1,Add/Merge Supplier Product,view,Admin
addOrMergingOrRejectProducts,1,Add/Merge Supplier Product,update,Admin
viewallnotifications,1,Notification Access,view,Both
vieworders,2,Order Fulfillment,view,Operational
orderFulfillmentSupplier,2,Order Fulfillment,update,Operational
inviteSend,1,Invite Customer/Supplier,create,Admin
disconnectTrader,1,Disconnect Customer/Supplier,delete,Admin
upload_pic,1,Upload Picture,create,Admin
createRole,1,Role Access,create,Admin
editRole,1,Role Access,update,Admin
deleteRole,1,Role Access,delete,Admin
uploadHoliday,1,Holiday Access,create,Admin
sitesAddingForSla,1,Pushing sites to Supplier,create,Admin
inventory,3,Inventory,create,Operational
